asset,group,status,rows,path
GC=F,gold,SUCCESS,6440,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\GC_F.csv
XAUUSD=X,gold,OPTIONAL_FAILED: ไม่มีข้อมูลจาก Yahoo,0,
GLD,gold,SUCCESS,5395,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\GLD.csv
IAU,gold,SUCCESS,5347,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\IAU.csv
SPY,stock_etf,SUCCESS,7548,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\SPY.csv
QQQ,stock_etf,SUCCESS,6828,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\QQQ.csv
DIA,stock_etf,SUCCESS,7114,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\DIA.csv
IWM,stock_etf,SUCCESS,6520,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\IWM.csv
TLT,bonds,SUCCESS,5977,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\TLT.csv
IEF,bonds,SUCCESS,5977,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\IEF.csv
SHY,bonds,SUCCESS,5977,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\SHY.csv
UUP,usd,SUCCESS,4823,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\UUP.csv
BTC-USD,crypto,SUCCESS,4244,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\BTC-USD.csv
ETH-USD,crypto,SUCCESS,3095,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\ETH-USD.csv
SI=F,commodities,SUCCESS,6442,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\SI_F.csv
SLV,commodities,SUCCESS,5033,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\SLV.csv
USO,commodities,SUCCESS,5046,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\USO.csv
DBC,commodities,SUCCESS,5090,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\DBC.csv
XLF,sector_etf,SUCCESS,6880,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\XLF.csv
XLK,sector_etf,SUCCESS,6880,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\XLK.csv
XLE,sector_etf,SUCCESS,6880,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\XLE.csv
XLV,sector_etf,SUCCESS,6880,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\XLV.csv
XLY,sector_etf,SUCCESS,6880,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\XLY.csv
XLP,sector_etf,SUCCESS,6880,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\XLP.csv
XLI,sector_etf,SUCCESS,6880,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\XLI.csv
XLU,sector_etf,SUCCESS,6880,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\XLU.csv
XLB,sector_etf,SUCCESS,6880,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\XLB.csv
XLRE,sector_etf,SUCCESS,2655,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\XLRE.csv
AAPL,magnificent_7,SUCCESS,7548,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\AAPL.csv
MSFT,magnificent_7,SUCCESS,7548,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\MSFT.csv
NVDA,magnificent_7,SUCCESS,6860,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\NVDA.csv
AMZN,magnificent_7,SUCCESS,7285,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\AMZN.csv
GOOGL,magnificent_7,SUCCESS,5459,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\GOOGL.csv
META,magnificent_7,SUCCESS,3507,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\META.csv
TSLA,magnificent_7,SUCCESS,3984,C:\Users\Moji\Desktop\Finalbigdata\gold-safe-haven-bigdata\data\raw\yahoo\TSLA.csv
