asset,regime,mean_volatility_21d,mean_volatility_63d,max_drawdown,mean_return,annualized_vol
AAPL,crisis,0.02639115640405171,0.027162818721301732,-0.8180144822987138,0.0007400419877047921,0.4548237370833067
AAPL,normal,0.02081752723042852,0.021509276216659715,-0.7893369889877844,0.0016600080119304414,0.3941252774024752
AMZN,crisis,0.03484514521373498,0.0357979433610966,-0.9440421779932859,0.0005230218029713765,0.6334996487279898
AMZN,normal,0.025308947086688575,0.026132376208535795,-0.847685996105299,0.0023880915222224135,0.4937273214029283
BTC-USD,crisis,0.034785455422084686,0.03619775624905687,-0.8336965544986015,-0.0008356147684940019,0.6608704059910975
BTC-USD,normal,0.03082116783495491,0.03223019869838738,-0.8339900882218974,0.0021923971352899893,0.5394881564827779
DBC,crisis,0.015320729411947587,0.015510420567682792,-0.7636263464047515,-0.0005289118022181702,0.2630484439663056
DBC,normal,0.009512776485003193,0.009692922748464394,-0.7406643595781512,0.0004326115536335606,0.15800789750211292
DIA,crisis,0.012910974018620468,0.013053555952951029,-0.5186836171710223,-0.00032769209970278897,0.24827399530945124
DIA,normal,0.007923262528351656,0.00837578659768875,-0.16437806271906275,0.0008775221829896404,0.1310980296738941
ETH-USD,crisis,0.0455445854703585,0.04689063538565955,-0.9396254038538314,-0.0007993893799570697,0.8452193145689646
ETH-USD,normal,0.04030903106590809,0.04144754886432807,-0.9395305076553788,0.002108474275076066,0.681386705587946
GC=F,crisis,0.011072593174282804,0.011199505231151425,-0.4242071117091718,0.0005288034199328997,0.1943515135887093
GC=F,normal,0.009787685448706644,0.01004337898763125,-0.44363844125895235,0.0004823394356774374,0.165146841799856
GLD,crisis,0.012097885211091005,0.012310353525297068,-0.4366975165512277,0.00044020413797053796,0.21436281111362973
GLD,normal,0.009613025613770266,0.009835305836838776,-0.45555012734257017,0.0005031522812456309,0.1640608097068752
GOOGL,crisis,0.02263099789611646,0.023244965099344293,-0.6529475769682853,0.00045437423175861166,0.40212656741389374
GOOGL,normal,0.015050912294107812,0.015583381038661994,-0.3292305440257288,0.0014153418148676634,0.25008566103364027
IAU,crisis,0.012234518541563433,0.012465478693539896,-0.43243243243243246,0.0004814301522427473,0.21701467208328
IAU,normal,0.009605719593905956,0.009830475893357015,-0.45135137197133657,0.0005074864412633524,0.1637029615579451
IEF,crisis,0.005012104833008059,0.005077745408968705,-0.23659650199763504,0.00023205835912460694,0.08418113920831274
IEF,normal,0.003406722805102991,0.0034706758915798246,-0.2392477449317163,0.00010105744664651775,0.056218259362828045
IWM,crisis,0.016803229402640247,0.01690225676274836,-0.5863999181050017,-0.0001601309602755905,0.3025248185583631
IWM,normal,0.011103024525866199,0.011497932151654513,-0.2999472703043786,0.0008634805335676688,0.18207221644056817
META,crisis,0.03514386770384311,0.03497944736598812,-0.7673608856051737,-0.0003764824277527963,0.6124306933144934
META,normal,0.020213509185645972,0.021177335696932885,-0.5429902372997135,0.001326732076633879,0.3553271210042201
MSFT,crisis,0.02028078987430773,0.020861887071505658,-0.6938622649878516,-0.0001751493978309588,0.36540061330851326
MSFT,normal,0.015452695501868657,0.015895729187495024,-0.5771250936696399,0.0013476696329720777,0.26693390696912356
NVDA,crisis,0.040371268166655636,0.041876141501822554,-0.8972243627906007,0.0003306062602025394,0.7086731159238046
NVDA,normal,0.027749626955028243,0.02842583730245407,-0.7121901344055098,0.002994032970979649,0.5051542881671132
QQQ,crisis,0.018546891442031234,0.018940324259312687,-0.8296389940832403,-0.0005545109105358952,0.33766081883475274
QQQ,normal,0.011690766018894584,0.01195163010296013,-0.6867453888415405,0.0012620067964568304,0.213103387558687
SHY,crisis,0.0011069642153980588,0.0011311588987862962,-0.05707100245289454,8.590943041849842e-05,0.019459937207004032
