asset,rolling_volatility_21d,drawdown
AAPL,0.022873113066216744,-0.20896998086777663
AMZN,0.028951974317216352,-0.28220811538687873
BTC-USD,0.03130555627799515,-0.351917151771246
DBC,0.011108846405546406,-0.4632949613897473
DIA,0.009861951458095222,-0.07161843095400341
ETH-USD,0.04115380497111544,-0.5432813537578068
GC=F,0.010322146210085105,-0.13522077008438166
GLD,0.010377811206246727,-0.16157147947913594
GOOGL,0.01744565062883581,-0.1306973937002624
IAU,0.010398406621682506,-0.15964057396471196
IEF,0.004009414916317855,-0.0527002128506908
IWM,0.01345537865411793,-0.10691937205141525
META,0.022149401913765625,-0.1520164685420293
MSFT,0.017233323903342132,-0.2486899682893045
NVDA,0.03271966347833758,-0.36303128415415
QQQ,0.014403201124595626,-0.328536090462258
SHY,0.0008249059167831253,-0.00520477943687449
SI=F,0.01843295710763041,-0.36171333435060926
SLV,0.01841876597630837,-0.44710914514947714
SPY,0.010422888223962796,-0.09867870379445558
TLT,0.008390435826641895,-0.1373032642346916
TSLA,0.03346705255345579,-0.22774783592839848
USO,0.02047402016011739,-0.7524019620511543
UUP,0.004737766673125616,-0.08936733779351519
XLB,0.013220536818681404,-0.10946327405094591
XLE,0.015757935811582375,-0.1802077977941453
XLF,0.014262854543470689,-0.20065683724302555
XLI,0.011617138583200683,-0.0926429969026796
XLK,0.01408014993086093,-0.3515158724719584
XLP,0.008502085488780262,-0.0705591262908568
XLRE,0.011094336906950867,-0.09672535850894637
XLU,0.01056550153212529,-0.1032970127628802
XLV,0.0099752366999874,-0.07146084817344062
XLY,0.012526524907822023,-0.09573172004544157
