asset,mean_crisis_return,outperform_spy_rate,max_drawdown_crisis,crisis_volatility,corr_with_spy,hit_rate,crisis_days,z_return,z_outperform,z_drawdown,z_vol,z_corr,z_hit,safe_haven_score,rank
SHY,8.590943041849842e-05,0.4802835622507753,-0.0570710024528945,0.0012258608185396,-0.2795949621758509,0.5186170212765957,2256,0.4487471259973795,-0.0955274505707564,2.499603323591662,1.7403180487207552,1.9557246639086343,0.8587546292074449,1.0642254887634304,1
IEF,0.0002320583591246,0.4833850243686309,-0.236596501997635,0.0053029133196977,-0.3449301180012751,0.5217198581560284,2256,0.6810828910193355,-0.0601333058106756,1.7056626494589937,1.4029197297554077,2.116072545668971,1.0269387215985468,1.0258371220772162,2
GC=F,0.0005288034199328,0.5196702884975646,-0.4242071117091718,0.0122429945686836,0.0082529090380048,0.5337078651685393,2670,1.1528242259012509,0.3539571594068187,0.8759660641463469,0.8285901751995886,1.249278098728745,1.6767286259089351,1.0121524241942392,3
GLD,0.0004402041379705,0.5188059701492538,-0.4366975165512277,0.0135035878225565,0.0613560680055913,0.5328554360812425,1674,1.011976242016844,0.344093486217717,0.8207280034494574,0.7242692117989543,1.118950422186778,1.630524130492149,0.9297700623469076,4
IAU,0.0004814301522427,0.5261216963736939,-0.4324324324324324,0.0136706393615378,0.0587365522892338,0.527060270602706,1626,1.0775140304189803,0.4275811649877502,0.8395900802524517,0.7104447863305935,1.1253793315702372,1.3164068616391005,0.9181456602546229,5
TLT,0.0002976603672101,0.489587948604342,-0.4792681304804204,0.0107165761055662,-0.3651529102254973,0.524822695035461,2256,0.7853716659728696,0.0106549837094864,0.6324620356237465,0.9549096237098108,2.165704047353881,1.1951228139896428,0.8929582101511863,6
SI=F,0.00046541208726,0.5316597976770326,-0.7584595804147046,0.0214281532837381,0.1358097963295148,0.536128790715088,2671,1.0520498042020758,0.4907824396697365,-0.6022452819161844,0.0684682221442803,0.9362234128902766,1.8079508530558457,0.689305108803385,7
UUP,0.0001114935904491,0.4952589350838803,-0.2219093422566367,0.0068280198127418,-0.2448258664759539,0.4857768052516411,1371,0.4894187576391475,0.0753727551224167,1.7706157259602868,1.2767088539204616,1.8703931027335496,-0.9212944486849592,0.673057282827648,8
SLV,0.0001857961088888,0.5096913137114142,-0.7628015142556759,0.0248692158825951,0.2800464487457816,0.5254845656855707,1393,0.6075389013691314,0.240076265584258,-0.6214472219719538,-0.2162984655496056,0.582232649495628,1.230998407485025,0.3570377071554788,9
AAPL,0.0007400419877047,0.5187319884726225,-0.8180144822987138,0.0286512023497965,0.6177460416505896,0.5079250720461095,2776,1.4886342429840076,0.3432492011441684,-0.8656232369676976,-0.529278461765257,-0.2465617982944899,0.2792153730059254,0.2629351054598706,10
GOOGL,0.0004543742317586,0.5106382978723404,-0.6529475769682853,0.0253315926892669,0.6714333779519917,0.4982738780207135,1738,1.0345027128560886,0.2508833279321614,-0.135624822105339,-0.2545626667722635,-0.3783231837924746,-0.2439114850029382,0.1696671534881153,11
