asset,mean_crisis_return,outperform_spy_rate,max_drawdown_crisis,crisis_volatility,corr_with_spy,hit_rate,crisis_days,z_return,z_outperform,z_drawdown,z_vol,z_corr,z_hit,safe_haven_score,rank
SHY,8.590943041849842e-05,0.48028356225077534,-0.05707100245289454,0.0012258608185396554,-0.27959496217585095,0.5186170212765957,2256,0.4487471259973795,-0.09552745057075641,2.499603323591662,1.7403180487207552,1.9557246639086345,0.8587546292074449,1.0642254887634304,1
IEF,0.00023205835912460694,0.4833850243686309,-0.23659650199763504,0.00530291331969772,-0.3449301180012751,0.5217198581560284,2256,0.6810828910193355,-0.060133305810675684,1.7056626494589937,1.4029197297554075,2.116072545668971,1.0269387215985468,1.0258371220772162,2
GC=F,0.0005288034199328997,0.5196702884975646,-0.4242071117091718,0.012242994568683696,0.00825290903800485,0.5337078651685393,2670,1.1528242259012509,0.3539571594068187,0.8759660641463469,0.8285901751995886,1.249278098728745,1.6767286259089351,1.0121524241942392,3
GLD,0.00044020413797053796,0.5188059701492538,-0.4366975165512277,0.013503587822556597,0.061356068005591326,0.5328554360812425,1674,1.011976242016844,0.344093486217717,0.8207280034494574,0.7242692117989543,1.118950422186778,1.630524130492149,0.9297700623469075,4
IAU,0.0004814301522427473,0.5261216963736939,-0.43243243243243246,0.013670639361537864,0.05873655228923388,0.527060270602706,1626,1.0775140304189803,0.42758116498775023,0.8395900802524517,0.7104447863305935,1.1253793315702372,1.3164068616391005,0.9181456602546229,5
TLT,0.00029766036721015117,0.48958794860434207,-0.4792681304804204,0.01071657610556621,-0.36515291022549734,0.524822695035461,2256,0.7853716659728696,0.010654983709486409,0.6324620356237465,0.9549096237098108,2.165704047353881,1.1951228139896428,0.8929582101511863,6
SI=F,0.0004654120872600319,0.5316597976770326,-0.7584595804147046,0.021428153283738184,0.13580979632951487,0.536128790715088,2671,1.0520498042020758,0.4907824396697365,-0.6022452819161844,0.06846822214428039,0.9362234128902766,1.8079508530558457,0.689305108803385,7
UUP,0.00011149359044918561,0.49525893508388036,-0.22190934225663672,0.0068280198127418186,-0.24482586647595392,0.48577680525164113,1371,0.4894187576391475,0.07537275512241672,1.7706157259602868,1.2767088539204616,1.8703931027335496,-0.9212944486849591,0.673057282827648,8
SLV,0.00018579610888889858,0.5096913137114142,-0.7628015142556759,0.024869215882595105,0.2800464487457816,0.5254845656855707,1393,0.6075389013691314,0.24007626558425807,-0.6214472219719538,-0.21629846554960563,0.582232649495628,1.230998407485025,0.3570377071554788,9
AAPL,0.0007400419877047921,0.5187319884726225,-0.8180144822987138,0.028651202349796553,0.6177460416505896,0.5079250720461095,2776,1.4886342429840076,0.3432492011441684,-0.8656232369676976,-0.529278461765257,-0.2465617982944899,0.2792153730059254,0.2629351054598706,10
