asset,regime,count,mean_return,std_return,mean_volatility_21d,max_drawdown,hit_rate
AAPL,crisis,2776,0.0007400419877047921,0.028651202349796553,0.02639115640405171,-0.8180144822987138,0.5079250720461095
AAPL,normal,4772,0.0016600080119304414,0.024827558795507004,0.02081752723042852,-0.7893369889877844,0.5248375602599036
AMZN,crisis,2775,0.0005230218029713765,0.039906726813834205,0.03484514521373498,-0.9440421779932859,0.4875675675675676
AMZN,normal,4510,0.0023880915222224135,0.031101897807385856,0.025308947086688575,-0.847685996105299,0.5245065424706143
BTC-USD,crisis,516,-0.0008356147684940019,0.04163092245463653,0.034785455422084686,-0.8336965544986015,0.4786821705426357
BTC-USD,normal,3728,0.0021923971352899893,0.033984559459955446,0.03082116783495491,-0.8339900882218974,0.5312583847598604
DBC,crisis,1396,-0.0005289118022181702,0.016570494416603656,0.015320729411947587,-0.7636263464047515,0.505730659025788
DBC,normal,3694,0.0004326115536335606,0.009953561951780349,0.009512776485003193,-0.7406643595781512,0.5207148659626321
DIA,crisis,2757,-0.00032769209970278897,0.015639791633172015,0.012910974018620468,-0.5186836171710223,0.5063474791439971
DIA,normal,4357,0.0008775221829896404,0.00825839961637357,0.007923262528351656,-0.16437806271906275,0.5571625344352618
ETH-USD,crisis,496,-0.0007993893799570697,0.05324381213471316,0.0455445854703585,-0.9396254038538314,0.4798387096774194
ETH-USD,normal,2599,0.002108474275076066,0.042923327848840245,0.04030903106590809,-0.9395305076553788,0.5161662817551963
GC=F,crisis,2670,0.0005288034199328997,0.012242994568683696,0.011072593174282804,-0.4242071117091718,0.5337078651685393
GC=F,normal,3770,0.0004823394356774374,0.010403273171670132,0.009787685448706644,-0.44363844125895235,0.5226850623507562
GLD,crisis,1675,0.00044020413797053796,0.013503587822556597,0.012097885211091005,-0.4366975165512277,0.5328554360812425
GLD,normal,3720,0.0005031522812456309,0.010334859580387698,0.009613025613770266,-0.45555012734257017,0.5311827956989247
GOOGL,crisis,1739,0.00045437423175861166,0.02533159268926697,0.02263099789611646,-0.6529475769682853,0.4982738780207135
GOOGL,normal,3720,0.0014153418148676634,0.01575391584662401,0.015050912294107812,-0.3292305440257288,0.5400537634408602
IAU,crisis,1627,0.0004814301522427473,0.013670639361537864,0.012234518541563433,-0.43243243243243246,0.527060270602706
IAU,normal,3720,0.0005074864412633524,0.010312317265883083,0.009605719593905956,-0.45135137197133657,0.5163978494623656
IEF,crisis,2257,0.00023205835912460694,0.00530291331969772,0.005012104833008059,-0.23659650199763504,0.5217198581560284
IEF,normal,3720,0.00010105744664651775,0.003541417462261226,0.003406722805102991,-0.2392477449317163,0.5155913978494624
IWM,crisis,2683,-0.0001601309602755905,0.019057272269770633,0.016803229402640247,-0.5863999181050017,0.5104399701715138
IWM,normal,3837,0.0008634805335676688,0.011469471556096884,0.011103024525866199,-0.2999472703043786,0.5454782382069325
META,crisis,452,-0.0003764824277527963,0.03857950737554802,0.03514386770384311,-0.7673608856051737,0.4911504424778761
META,normal,3055,0.001326732076633879,0.02238350467270766,0.020213509185645972,-0.5429902372997135,0.527177472167649
MSFT,crisis,2776,-0.0001751493978309588,0.02301807504106677,0.02028078987430773,-0.6938622649878516,0.4823487031700288
MSFT,normal,4772,0.0013476696329720777,0.016815255579313144,0.015452695501868657,-0.5771250936696399,0.5277719555648711
